dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
ic3t-wcy2,,8wi4-bsy4,,0.8222,embedding
ic3t-wcy2,,bvna-6j7v,,0.8023,embedding
ic3t-wcy2,,cpcm-i88g,,0.7742,embedding
ic3t-wcy2,,uf93-f8nk,,0.7939,embedding
ic3t-wcy2,,sxmw-f24h,,0.7813,embedding
ic3t-wcy2,,56e3-rp8d,,0.7821,embedding
ic3t-wcy2,,hy4q-igkk,,0.7813,embedding
ic3t-wcy2,,xpbf-ithr,,0.8102,embedding
ic3t-wcy2,,2z24-2htf,,0.76,embedding
ic3t-wcy2,,3gkd-ddzn,,0.7968,embedding
ic3t-wcy2,,aiww-p3af,,0.7813,embedding
ic3t-wcy2,,g3xg-qtbc,,0.778,embedding
ic3t-wcy2,,shpd-5q9m,,0.8299,embedding
ic3t-wcy2,,tfbb-gszk,,0.7849,embedding
ic3t-wcy2,,yhdx-itry,,0.818,embedding
ic3t-wcy2,,qrb4-aqtx,,0.8183,embedding
ic3t-wcy2,,ufxk-pq9j,,0.7621,embedding
ic3t-wcy2,,3bkg-usya,,0.7956,embedding
ic3t-wcy2,,fn6f-htvy,,0.7506,embedding
ic3t-wcy2,,rjkp-yttg,,0.7635,embedding
ic3t-wcy2,,kcqe-vnci,,0.7714,embedding
ic3t-wcy2,,a94k-kjys,,0.8492,embedding
ic3t-wcy2,,mf9g-zhbw,,0.8215,embedding
ic3t-wcy2,,r4c5-ndkx,,0.7971,embedding
ic3t-wcy2,,gy3q-4tzp,,0.7882,embedding
ic3t-wcy2,,5npv-j6gn,,0.8166,embedding
ic3t-wcy2,,c292-vzrn,,0.7569,embedding
ic3t-wcy2,,tzuk-eq2f,,0.7737,embedding
ic3t-wcy2,,esmb-8zkm,,0.8084,embedding
ic3t-wcy2,,xrwg-eczf,,0.8017,embedding
ic3t-wcy2,,bug8-9f3g,,0.8229,embedding
ic3t-wcy2,,sejx-2gn3,,0.789,embedding
ic3t-wcy2,,ruu9-egea,,0.7662,embedding
ic3t-wcy2,,a3nt-yts4,,0.8087,embedding
ic3t-wcy2,,ybdk-jmnn,,0.8228,embedding
ic3t-wcy2,,p8i7-ix2s,,0.7856,embedding
ic3t-wcy2,,pwts-g83w,,0.8048,embedding
ic3t-wcy2,,rsnd-bbih,,0.8376,embedding
ic3t-wcy2,,r465-fr2q,,0.8266,embedding
ic3t-wcy2,,br6q-ssj3,,0.8268,embedding
ic3t-wcy2,,97zg-4p9t,,0.8418,embedding
ic3t-wcy2,,bbtf-6p3c,,0.823,embedding
ic3t-wcy2,,5dck-9m6g,,0.8005,embedding
ic3t-wcy2,,37it-gmcp,,0.7534,embedding
ic3t-wcy2,,qy7q-cb9e,,0.8385,embedding
ic3t-wcy2,,5ar6-qxhs,,0.8408,embedding
ic3t-wcy2,,6pwv-zmgh,,0.7768,embedding
ic3t-wcy2,,b4dv-8mq4,,0.8143,embedding
ic3t-wcy2,,xphq-immx,,0.8058,embedding
ic3t-wcy2,,h4mf-f24e,,0.8285,embedding
ic3t-wcy2,,9umc-3b2y,,0.8561,embedding
ic3t-wcy2,,iaig-3vs5,,0.8408,embedding
ic3t-wcy2,,cmni-fvnx,,0.8259,embedding
ic3t-wcy2,,urzf-q2g5,,0.7828,embedding
ic3t-wcy2,,ipkp-snf6,,0.763,embedding
ic3t-wcy2,,rma9-fm39,,0.8365,embedding
ic3t-wcy2,,p5md-weyf,,0.7924,embedding
ic3t-wcy2,,d54t-ywim,,0.8218,embedding
ic3t-wcy2,,68k5-hdzw,,0.7828,embedding
ic3t-wcy2,,pvvr-75zk,,0.7736,embedding
ic3t-wcy2,,8s5k-n45n,,0.7963,embedding
ic3t-wcy2,,hv9n-xgy4,,0.8024,embedding
ic3t-wcy2,,xggi-kgx9,,0.8133,embedding
ic3t-wcy2,,5xsi-dfpx,,0.7518,embedding
ic3t-wcy2,,pfn4-vjwr,,0.7833,embedding
ic3t-wcy2,,xesp-yqsx,,0.7526,embedding
ic3t-wcy2,,ig76-wwag,,0.7798,embedding
ic3t-wcy2,,t474-a92g,,0.7759,embedding
ic3t-wcy2,,v8i9-yfpr,,0.823,embedding
ic3t-wcy2,,wswf-9pts,,0.7736,embedding
ic3t-wcy2,,67g2-p84d,,0.7999,embedding
ic3t-wcy2,,2er2-jqsx,,0.798,embedding
ic3t-wcy2,,tvfr-dhen,,0.8181,embedding
ic3t-wcy2,,gshi-yqza,,0.7605,embedding
ic3t-wcy2,,66yh-nemi,,0.8112,embedding
ic3t-wcy2,,qxzj-vkn2,,0.8014,embedding
ic3t-wcy2,,bjmk-35w5,,0.7697,embedding
ic3t-wcy2,,m4ph-grrm,,0.771,embedding
ic3t-wcy2,,auuc-fqzi,,0.8233,embedding
ic3t-wcy2,,xqmg-7z3j,,0.7936,embedding
ic3t-wcy2,,t4f2-8md7,,0.7649,embedding
ic3t-wcy2,,ckaz-6gaa,,0.7512,embedding
ic3t-wcy2,,8gpu-s594,,0.8013,embedding
ic3t-wcy2,,cfz5-6fvh,,0.7694,embedding
ic3t-wcy2,,tkzt-zfpz,,0.757,embedding
ic3t-wcy2,,eyb2-p5s8,,0.8089,embedding
ic3t-wcy2,,f72e-3i4c,,0.7803,embedding
ic3t-wcy2,,uwmn-v7un,,0.7606,embedding
ic3t-wcy2,,3spy-rjpw,,0.8285,embedding
ic3t-wcy2,,xip9-pe9k,,0.7926,embedding
ic3t-wcy2,,9f5n-qdib,,0.8095,embedding
ic3t-wcy2,,fp78-wt5b,,0.7608,embedding
ic3t-wcy2,,7su9-xgtn,,0.8165,embedding
ic3t-wcy2,,i2y3-sx2e,,0.7708,embedding
ic3t-wcy2,,xs6e-ka4w,,0.7853,embedding
ic3t-wcy2,,8z5h-tzdr,,0.801,embedding
ic3t-wcy2,,kydh-ijhc,,0.7713,embedding
ic3t-wcy2,,nfz9-tzba,,0.7867,embedding
ic3t-wcy2,,29km-avyc,,0.771,embedding
ic3t-wcy2,,hxx3-bwgv,,0.8254,embedding
ic3t-wcy2,,yj3u-pw36,,0.7855,embedding
ic3t-wcy2,,tsy7-gcm8,,0.7977,embedding
ic3t-wcy2,,jup5-7fik,,0.7765,embedding
